index,target,amountRaw,amountDecimal
0,0x0066bf82d1BC5238B5651595e184f20C6522a04B,1179803273471700420828344,1179803.273471700420828344
1,0x00E126d9723Bb6133bdfdf11dD19bbd444718536,191760205493135877482852,191760.205493135877482852
2,0x016311EDC15b3964dB73416529650BF2aeAdBd25,4737908334839738803172,4737.908334839738803172
3,0x01C1BCe151C47dCD29037B6723B4acF0eDD26970,146317825488495194579524,146317.825488495194579524
4,0x01fB473E371A546021BA53c0588F04293Ded2101,235536000000000000000000,235536.000000000000000000
5,0x02B4058eDaB6125045B65f5734A79399934EB86d,10570407601641312452716120,10570407.601641312452716120
6,0x02dd400392Db31Dc3ea5Bb910c986c51D90a2001,7041720775519538980861466,7041720.775519538980861466
7,0x030582ceccb1d1F33A2b5B62AA97C1ef11374C87,42279931997284080081129,42279.931997284080081129
8,0x03dF40F690A55986A8FC88ad19eeCaAf229c248D,46107582991337994807257,46107.582991337994807257
9,0x03Edd76C30398a47B61857138D1197Cad32Db02f,761963393426232282602656,761963.393426232282602656
10,0x03FDef14113fFCe886A4B61FA08A0C747E87aA96,7783533941174314228374328,7783533.941174314228374328
11,0x04B436555Dc69Ea4Bf8BA50d8C591E60443B3fF9,576149036745802235520010,576149.036745802235520010
12,0x05F70ac31057924F8aB5bD9C2FF8A511497371B0,7394128267650193379090252,7394128.267650193379090252
13,0x07343Cf9331a7C79C809Ad358B0b7D2D83e871b6,768982994520728679591831,768982.994520728679591831
14,0x0aCE0D1610B4fe70c282396DcbCAA43F9A52CF2D,1100000000000000000000,1100.000000000000000000
15,0x0C49418D2074579E8843d2b556eB89aAAc67d7eC,1121382663745078498265517,1121382.663745078498265517
16,0x0Ea4daC04898b55E3396B7E5BcA1CCca5AB62d7d,6050485734074150832641689,6050485.734074150832641689
17,0x0f06A7BD1C8fF21B6C197f26cc19006d26F882d9,3138671080931344573628655,3138671.080931344573628655
18,0x0f297a399D385AeB60Ca378C27Fd42082cC5C841,1681743698837813557699245,1681743.698837813557699245
19,0x0F9a7a53B36DAF1F52fE7A616ea4b25C532d2fd2,7460231244727334714831335,7460231.244727334714831335
20,0x10b9D7Be1e79eA681Facc778a4D02f8f3217610e,123305660001479051949063,123305.660001479051949063
21,0x11003f59FEf008aa0A9380E9DDdC3A46351B4Dd4,688316162198590655902971,688316.162198590655902971
22,0x110337b57a2A00043AA7b5e8dF4f87AA558F4BAa,713644664342216165599045,713644.664342216165599045
23,0x11564Fd96dF2bDCD11326e070Ea6bb54d9951fc8,342802214580492417186377,342802.214580492417186377
24,0x11778175533E0eeb523c6AB4E2Bb0A4962ca90b6,10951180471410974470390,10951.180471410974470390
25,0x11De370c804DeB36AB79403F164dFA24F76e5c7A,90322454180987214091428,90322.454180987214091428
26,0x125f76e49889a00F0213948f9f9d3AeB17b6627B,2984685715717456730677073,2984685.715717456730677073
27,0x12aF4F24c30Ae4FfF17F997b913A443a45eb5ae6,13132139315038611763619987,13132139.315038611763619987
